run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.0,32.0,3,0.353243,0.353243,0.314925,0.313739,0.304215,0.193424,0.326781,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.0,32.0,3,0.354736,0.354736,0.314294,0.31471,0.304215,0.195598,0.326163,0.177056,1101,6231,158.388817,400.175,0,0,0.0,0.0
1,2,0.0,32.0,3,0.35892,0.35892,0.323915,0.324671,0.304215,0.19438,0.333774,0.180954,2184,14591,316.772833,923.9416666666666,0,0,0.0,0.0
1,3,0.0,32.0,3,0.357862,0.357862,0.323588,0.323292,0.304215,0.195023,0.335823,0.177052,3320,20927,475.165397,1331.4083333333333,0,0,0.0,0.0
1,4,0.0,32.0,3,0.358865,0.358865,0.319535,0.316198,0.304215,0.195773,0.331638,0.173685,4452,27452,633.540007,1749.7666666666667,0,0,0.0,0.0
