Run,Mission,mAP50,Images_Transmises,Temps_Annotation_s
1,0,0.3664162098023148,0,0.0
1,1,0.36136456900666253,35,10797.5
1,2,0.3709365049566079,417,10798.5
1,3,0.3701922214840688,193,10798.5
2,0,0.3664162098023148,0,0.0
2,1,0.3624992105956845,38,10796.5
2,2,0.37130582786500044,345,10798.0
2,3,0.3712761697393723,223,10799.0
