run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,1.0,32.0,3,0.353243,0.353243,0.314925,0.313739,0.304215,0.193424,0.326781,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,1.0,32.0,3,0.351923,0.351923,0.316229,0.313739,0.301777,0.19597,0.321792,0.177188,0,0,0.0,0.0,182,7004,39.576021,414.6333333333333
1,2,1.0,32.0,3,0.354021,0.354021,0.316567,0.313739,0.304877,0.195836,0.323712,0.177188,0,0,0.0,0.0,465,8769,79.169408,527.025
1,3,1.0,32.0,3,0.353558,0.353558,0.31647,0.313739,0.304881,0.194454,0.324268,0.177188,0,0,0.0,0.0,708,12153,118.76174700000001,732.525
1,4,1.0,32.0,3,0.35365,0.35365,0.316062,0.313739,0.302064,0.196028,0.324562,0.177188,0,0,0.0,0.0,944,15172,158.334729,916.5
