run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.0,32.0,3,0.353243,0.353243,0.314925,0.313739,0.304215,0.193424,0.326781,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.0,32.0,3,0.345817,0.345817,0.311722,0.310519,0.304215,0.188107,0.318698,0.176694,232,7571,39.584238,449.375,0,0,0.0,0.0
1,2,0.0,32.0,3,0.353006,0.353006,0.317176,0.317229,0.304215,0.192184,0.325671,0.178072,417,11433,79.177678,680.825,0,0,0.0,0.0
1,3,0.0,32.0,3,0.356216,0.356216,0.319313,0.319132,0.304215,0.193709,0.328694,0.179595,580,13446,118.757508,803.6833333333334,0,0,0.0,0.0
1,4,0.0,32.0,3,0.360157,0.360157,0.32537,0.324205,0.304215,0.192742,0.334027,0.177823,762,17685,158.341348,1057.025,0,0,0.0,0.0
