epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.627,0.74332,0.86469,1.01447,0,0,0,0,0,0,0,8.09366e-05,8.09366e-05,8.09366e-05
2,273.3,0.7062,0.81456,0.9929,0,0,0,0,0,0,0,0.000108721,0.000108721,0.000108721
3,723.981,0.69856,0.76179,0.9903,0.46761,0.41866,0.3913,0.2816,1.24137,1.25125,1.00001,8.28251e-05,8.28251e-05,8.28251e-05
