epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.9754,0.78023,0.91179,1.03138,0,0,0,0,0,0,0,8.07309e-05,8.07309e-05,8.07309e-05
2,172.247,0.79108,0.87655,1.02403,0,0,0,0,0,0,0,0.000108583,0.000108583,0.000108583
3,573.16,0.77999,0.85484,1.01432,0.46643,0.41492,0.38799,0.27859,1.24769,1.24125,1.00127,8.27552e-05,8.27552e-05,8.27552e-05
