run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.5,32.0,3,0.353243,0.353243,0.314925,0.313739,0.304215,0.193424,0.326781,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.5,32.0,3,0.34618,0.34618,0.31033,0.308828,0.301952,0.193866,0.318755,0.177531,147,2008,19.780737,122.03333333333333,90,3507,19.7914,207.575
1,2,0.5,32.0,3,0.35353,0.35353,0.314973,0.314433,0.302586,0.192966,0.330474,0.179532,254,3224,39.55834,196.53333333333333,223,4562,39.588672,273.54999999999995
1,3,0.5,32.0,3,0.355198,0.355198,0.320262,0.317201,0.306048,0.191421,0.33248,0.174827,363,3977,59.34924,244.09166666666667,335,6379,59.362112,383.275
1,4,0.5,32.0,3,0.356813,0.356813,0.320287,0.318147,0.30596,0.196413,0.331879,0.178717,484,4812,79.131258,296.8333333333333,443,8204,79.161293,493.3333333333333
