Mission,mAP50_mean,mAP50_std,Images_Transmises_mean,Temps_Annotation_min
0,0.3664162098023148,0.0,0.0,0.0
1,0.36927779116473614,0.0009992017953084243,180.0,1948.4416666666666
2,0.37071615941036673,0.001227419965129038,180.0,1637.2625
3,0.3682766926156995,0.003749670005713906,180.0,1997.7625
