Run,Mission,mAP50,Images_Transmises,Temps_Annotation_s
1,0,0.3664162098023148,0,0.0
1,1,0.36998433352997245,180,119125.5
1,2,0.3698482424296602,180,98570.0
1,3,0.36562527552744745,180,118310.0
2,0,0.3664162098023148,0,0.0
2,1,0.36857124879949976,180,114687.5
2,2,0.3715840763910732,180,97901.5
2,3,0.3709281097039516,180,121421.5
