run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.0,32.0,3,0.353243,0.353243,0.314925,0.313739,0.304215,0.193424,0.326781,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.0,32.0,3,0.351126,0.351126,0.312602,0.313689,0.304215,0.191909,0.323762,0.177837,291,2680,39.570334,166.03333333333333,0,0,0.0,0.0
1,2,0.0,32.0,3,0.353273,0.353273,0.319882,0.319934,0.304215,0.191508,0.32685,0.178583,548,5352,79.164681,330.4666666666667,0,0,0.0,0.0
1,3,0.0,32.0,3,0.356324,0.356324,0.322895,0.32395,0.304215,0.194342,0.32724,0.18242,860,7115,118.751569,443.70833333333337,0,0,0.0,0.0
1,4,0.0,32.0,3,0.358867,0.358867,0.324991,0.322747,0.304215,0.194215,0.330151,0.176074,1156,8779,158.344762,550.6416666666667,0,0,0.0,0.0
