epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.651,0.74515,0.83899,0.98798,0,0,0,0,0,0,0,8.10386e-05,8.10386e-05,8.10386e-05
2,382.338,0.75523,0.8359,0.99936,0,0,0,0,0,0,0,0.000108789,0.000108789,0.000108789
3,933.048,0.74838,0.81852,0.99021,0.44212,0.43087,0.39398,0.28375,1.23555,1.2375,0.99966,8.28598e-05,8.28598e-05,8.28598e-05
