epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7442,0.66802,0.89411,1.00499,0,0,0,0,0,0,0,8.07524e-05,8.07524e-05,8.07524e-05
2,181.101,0.64275,0.7976,0.98242,0,0,0,0,0,0,0,0.000108597,0.000108597,0.000108597
3,613.057,0.63499,0.79644,0.98592,0.44159,0.4255,0.39111,0.28076,1.25004,1.27295,1.00768,8.27625e-05,8.27625e-05,8.27625e-05
