epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.984,0.71354,0.8304,0.99581,0,0,0,0,0,0,0,8.10439e-05,8.10439e-05,8.10439e-05
2,316.5,0.71705,0.78815,0.99283,0,0,0,0,0,0,0,0.000108793,0.000108793,0.000108793
3,759.599,0.72303,0.78812,1.00629,0.43035,0.43778,0.39044,0.283,1.24394,1.26223,0.99972,8.28616e-05,8.28616e-05,8.28616e-05
