run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.0,32.0,3,0.353243,0.353243,0.314925,0.313739,0.304215,0.193424,0.326781,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.0,32.0,3,0.348268,0.348268,0.311573,0.312344,0.304215,0.192184,0.319585,0.177947,274,3275,39.585664,200.175,0,0,0.0,0.0
1,2,0.0,32.0,3,0.354004,0.354004,0.317043,0.316947,0.304215,0.194799,0.325862,0.182642,538,4553,79.17833999999999,283.525,0,0,0.0,0.0
1,3,0.0,32.0,3,0.357542,0.357542,0.322784,0.321428,0.304215,0.196345,0.330132,0.182203,819,6330,118.75485799999998,396.54999999999995,0,0,0.0,0.0
1,4,0.0,32.0,3,0.357396,0.357396,0.319709,0.318603,0.304215,0.193311,0.330028,0.176821,1108,8079,158.35152699999998,508.20833333333326,0,0,0.0,0.0
