Run,Mission,mAP50,Images_Transmises,Temps_Annotation_s
1,0,0.3664162098023148,0,0.0
1,1,0.3738120131824865,381,35996.5
1,2,0.37231664839206086,416,36000.0
1,3,0.37614361935011337,407,35996.0
2,0,0.3664162098023148,0,0.0
2,1,0.3715425263785385,358,35996.0
2,2,0.3710394555760631,406,35997.5
2,3,0.36938960763123657,477,35996.0
