run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.0,32.0,3,0.361695,0.361695,0.314925,0.313739,0.304215,0.196841,0.335876,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.0,32.0,3,0.356198,0.356198,0.311885,0.313229,0.304215,0.196759,0.329655,0.176846,272,2448,39.582576,151.86666666666667,0,0,0.0,0.0
1,2,0.0,32.0,3,0.361961,0.361961,0.32172,0.320038,0.304215,0.196049,0.337545,0.174721,527,4323,79.16588300000001,269.7416666666667,0,0,0.0,0.0
1,3,0.0,32.0,3,0.367516,0.367516,0.325405,0.324851,0.304215,0.196922,0.342472,0.176843,826,6028,118.75984000000001,379.1666666666667,0,0,0.0,0.0
1,4,0.0,32.0,3,0.366951,0.366951,0.325373,0.322848,0.304215,0.196119,0.344406,0.177023,1121,7747,158.338433,489.27500000000003,0,0,0.0,0.0
