epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,661.715,1.78587,2.97117,1.21297,0.32797,0.23532,0.13412,0.08116,1.53359,1.99034,1.1411,0.00997573,0.00332524,0.00997573,0.00332524,0.00997573,0.00332524,0.00997573,0.00332524
2,1093.67,1.59708,1.87252,1.09572,0.28968,0.26091,0.15728,0.09095,1.57143,1.80353,1.15847,0.0198768,0.00662562,0.0198768,0.00662562,0.0198768,0.00662562,0.0198768,0.00662562
3,1472.49,1.62249,1.85967,1.11122,0.3014,0.2438,0.11605,0.06783,1.63704,3.01265,1.21348,0.029679,0.00989299,0.029679,0.00989299,0.029679,0.00989299,0.029679,0.00989299
4,1844.29,1.67971,1.89086,1.13803,0.314,0.25333,0.15435,0.08703,1.58792,1.81257,1.1895,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2223.55,1.61333,1.75853,1.11446,0.27051,0.26585,0.16158,0.09254,1.55998,1.76183,1.18173,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2605.21,1.55124,1.66371,1.09514,0.37007,0.24015,0.17464,0.1035,1.53197,1.71216,1.16623,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,3000.75,1.54762,1.63593,1.0869,0.31221,0.27989,0.19589,0.11486,1.54513,1.62964,1.16638,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,3423.3,1.51531,1.56241,1.06981,0.33825,0.28,0.19266,0.11564,1.49217,1.62957,1.13969,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3832.23,1.4782,1.5425,1.06703,0.33602,0.25813,0.18895,0.11413,1.46557,1.64648,1.12652,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,4245.68,1.47528,1.52449,1.06018,0.31389,0.3,0.22399,0.13868,1.45779,1.54206,1.12116,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,4660.92,1.44856,1.46965,1.05157,0.30176,0.3082,0.22947,0.14147,1.44611,1.5284,1.11335,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,5043.91,1.44813,1.47236,1.05161,0.35585,0.31345,0.23321,0.14553,1.42226,1.50077,1.11068,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,5443.7,1.43053,1.44765,1.03803,0.32497,0.31757,0.24616,0.15268,1.41703,1.47667,1.10206,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,5829.28,1.42515,1.42535,1.03593,0.32099,0.31006,0.24076,0.1486,1.42695,1.47269,1.09858,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,6226.69,1.41098,1.40686,1.03271,0.34551,0.31986,0.24979,0.15792,1.41853,1.45449,1.09593,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,6606.02,1.41406,1.40439,1.03765,0.32437,0.34358,0.26524,0.16813,1.40256,1.42138,1.09116,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,7000.94,1.38258,1.36915,1.02408,0.32262,0.32559,0.26459,0.16902,1.38688,1.41503,1.08644,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,7401.43,1.38685,1.37525,1.02591,0.36869,0.33735,0.26472,0.16902,1.38528,1.41439,1.08598,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,7783.53,1.38355,1.33964,1.01778,0.35219,0.33076,0.26388,0.16846,1.38837,1.41476,1.08908,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,8155.94,1.37565,1.34368,1.01898,0.38247,0.33743,0.27635,0.17821,1.38037,1.40835,1.08253,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,8541.98,1.36765,1.32083,1.01243,0.34139,0.35156,0.27772,0.17985,1.37651,1.39323,1.08287,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,8937.63,1.36016,1.31252,1.01314,0.34699,0.34545,0.27788,0.17846,1.38441,1.39776,1.08094,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,9319.99,1.36038,1.32005,1.01532,0.40236,0.33417,0.27642,0.17871,1.37237,1.37741,1.0748,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,9698.03,1.34559,1.28443,1.01216,0.37081,0.34971,0.29613,0.19211,1.37407,1.36588,1.07414,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,10102.7,1.34684,1.28597,1.00704,0.33323,0.36649,0.28889,0.18891,1.36025,1.36244,1.07215,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,10467.7,1.34462,1.28243,1.00769,0.3583,0.35873,0.29337,0.19021,1.37168,1.36098,1.07772,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,10811.1,1.34144,1.27966,1.00291,0.32975,0.35398,0.29369,0.19046,1.35419,1.35201,1.07066,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,11156.5,1.32696,1.28205,1.00677,0.33072,0.36243,0.29676,0.19493,1.36939,1.34485,1.073,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,11520.4,1.32801,1.27203,1.00419,0.37449,0.35608,0.29997,0.1966,1.3571,1.34566,1.06898,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,11866.3,1.32222,1.25131,1.00328,0.34579,0.35185,0.29757,0.1945,1.35811,1.33771,1.06832,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,12199.6,1.32347,1.23552,0.99652,0.39895,0.34859,0.3024,0.19979,1.35258,1.33286,1.0645,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,12528,1.31736,1.23485,0.99594,0.41304,0.36389,0.31284,0.20538,1.34639,1.32389,1.06451,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,12883.9,1.32159,1.23845,0.99744,0.36911,0.36381,0.30464,0.20031,1.34711,1.3317,1.06477,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,13248.8,1.30295,1.22234,0.99127,0.34221,0.37769,0.31234,0.2072,1.34457,1.32218,1.0622,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,13600.2,1.29977,1.21464,0.99082,0.35783,0.36914,0.31432,0.20867,1.3365,1.3163,1.06101,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,13966,1.29686,1.208,0.98961,0.39031,0.37177,0.31233,0.20846,1.33307,1.31168,1.05959,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,14316.2,1.3044,1.20998,0.99193,0.38621,0.36703,0.31377,0.20941,1.33968,1.31149,1.06289,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,14687.6,1.29621,1.19211,0.98795,0.37879,0.37697,0.31773,0.21117,1.33323,1.30641,1.0592,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,15050.7,1.28384,1.1861,0.98619,0.36117,0.36996,0.31966,0.2136,1.33897,1.31073,1.06001,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,15406.5,1.28022,1.18212,0.98112,0.3719,0.36616,0.32492,0.21746,1.33032,1.30145,1.05861,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,15773.9,1.27412,1.17965,0.98748,0.37299,0.37654,0.32814,0.21878,1.32774,1.29961,1.0558,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,16146.3,1.25847,1.1531,0.97862,0.37908,0.36946,0.32576,0.21722,1.3279,1.30343,1.05611,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,16496.1,1.28358,1.17115,0.98183,0.36161,0.37242,0.32229,0.21472,1.33831,1.30161,1.05959,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,16850,1.27621,1.15178,0.98148,0.37701,0.37097,0.32325,0.21654,1.33191,1.30037,1.05699,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,17209.8,1.26985,1.14902,0.97639,0.38096,0.38021,0.32425,0.21692,1.33203,1.30174,1.0564,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,17560.3,1.27386,1.15321,0.98004,0.38576,0.36967,0.32245,0.21605,1.33201,1.30501,1.05695,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,17949.3,1.26827,1.14746,0.97447,0.38447,0.37064,0.32665,0.21862,1.32386,1.29802,1.05384,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,18298.7,1.25961,1.12579,0.97532,0.3807,0.37428,0.32594,0.21962,1.32686,1.29832,1.05439,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,18663,1.26531,1.13419,0.97733,0.38324,0.37918,0.33134,0.224,1.32177,1.2944,1.05407,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,19023,1.26157,1.13204,0.96936,0.39199,0.37644,0.33051,0.22189,1.32505,1.2949,1.05567,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,19370.8,1.2514,1.12852,0.97601,0.37747,0.38285,0.33146,0.22253,1.32567,1.29225,1.05466,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,19730.7,1.25233,1.11585,0.97478,0.3758,0.38317,0.33211,0.2247,1.32199,1.29277,1.05359,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,20075.5,1.25465,1.11423,0.9703,0.37363,0.38028,0.3315,0.22427,1.32163,1.29492,1.05275,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,20423.8,1.25091,1.11069,0.97385,0.39097,0.37209,0.33376,0.22634,1.32055,1.29262,1.0526,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,20787.4,1.2294,1.0975,0.96976,0.40205,0.35788,0.33152,0.22489,1.32065,1.29206,1.0529,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,21150.4,1.24326,1.09322,0.968,0.37853,0.37113,0.33019,0.22446,1.32041,1.29259,1.05272,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,21516.8,1.24151,1.10024,0.97534,0.38079,0.37353,0.33133,0.22435,1.31815,1.29518,1.05221,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
