epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8121.63,1.61101,3.60694,1.65872,0.35366,0.15692,0.0998,0.05899,1.59324,2.63741,1.79452,0.00999848,0.00333283,0.00999848,0.00333283,0.00999848,0.00333283,0.00999848,0.00333283
2,15847.1,1.6446,2.70498,1.73965,0.40107,0.17376,0.11067,0.06525,1.53998,2.63818,1.8191,0.0198995,0.00663316,0.0198995,0.00663316,0.0198995,0.00663316,0.0198995,0.00663316
3,23409.5,1.66048,2.7831,1.79962,0.48574,0.16134,0.10549,0.06184,1.5371,2.59998,1.86336,0.0297015,0.0099005,0.0297015,0.0099005,0.0297015,0.0099005,0.0297015,0.0099005
4,30954.6,1.63988,2.6945,1.80377,0.45469,0.185,0.1248,0.07539,1.47027,2.49251,1.81199,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,38501.6,1.56815,2.46351,1.73785,0.45966,0.22935,0.14842,0.09126,1.41674,2.35614,1.75265,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,46031.8,1.5216,2.34954,1.6966,0.37026,0.24568,0.16295,0.10154,1.38744,2.22055,1.72488,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,53572.3,1.48019,2.21582,1.66279,0.40651,0.28152,0.1794,0.11345,1.34824,2.17233,1.68733,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,61088.3,1.45214,2.1521,1.63754,0.39863,0.2902,0.18505,0.11757,1.32931,2.14491,1.67717,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,68607,1.42544,2.10927,1.6229,0.39301,0.30169,0.19653,0.1255,1.31768,2.09728,1.66465,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,76148.4,1.42974,2.07706,1.6197,0.37235,0.30585,0.20474,0.13103,1.30279,2.06628,1.6432,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,83686.9,1.41955,2.01448,1.61328,0.36794,0.32103,0.20982,0.13505,1.28935,2.03944,1.63692,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,91214.8,1.41103,2.0097,1.60642,0.37148,0.32443,0.22043,0.14274,1.27799,2.0072,1.62546,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,98745.6,1.39147,1.98934,1.59189,0.34218,0.32843,0.22599,0.14691,1.27204,1.98353,1.61898,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,106273,1.38375,1.95941,1.58051,0.34185,0.33427,0.23022,0.14976,1.26964,1.98081,1.61925,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,113817,1.3812,1.90267,1.57934,0.39958,0.3374,0.23461,0.15295,1.26593,1.98109,1.61711,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,121336,1.37361,1.94066,1.57237,0.37412,0.34016,0.23829,0.15578,1.2607,1.9673,1.61294,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,128856,1.35903,1.88561,1.56137,0.37603,0.34125,0.24119,0.1577,1.25787,1.95831,1.61054,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,136384,1.35396,1.87767,1.56416,0.35174,0.34422,0.24383,0.15997,1.25597,1.95058,1.60923,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,143921,1.35838,1.88269,1.55931,0.3838,0.34598,0.24647,0.16181,1.2544,1.94368,1.60833,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,151448,1.34541,1.84804,1.55774,0.38237,0.3474,0.24851,0.16323,1.25312,1.93686,1.60737,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,158975,1.34699,1.83948,1.54735,0.38646,0.34756,0.25047,0.16467,1.25234,1.93108,1.6069,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,166517,1.343,1.83094,1.54878,0.39312,0.34706,0.25228,0.16634,1.25081,1.92396,1.60572,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,174041,1.34812,1.84135,1.5533,0.3938,0.34741,0.25402,0.16771,1.24965,1.91566,1.6048,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,181572,1.33129,1.81103,1.53497,0.39575,0.34872,0.25602,0.16924,1.24846,1.90795,1.60353,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,189096,1.32062,1.82197,1.52953,0.40011,0.34648,0.25809,0.1708,1.24752,1.90126,1.60238,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,196624,1.33114,1.77878,1.53168,0.40111,0.34687,0.25977,0.17201,1.24632,1.89429,1.60157,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,204141,1.32878,1.77473,1.53311,0.40365,0.34692,0.2618,0.17366,1.24546,1.88757,1.60098,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,211657,1.32782,1.79689,1.53368,0.40833,0.34644,0.26366,0.17514,1.24409,1.88123,1.59987,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,219170,1.31903,1.76178,1.52605,0.40801,0.34926,0.26562,0.17654,1.24333,1.87501,1.59892,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,226698,1.31745,1.77727,1.52704,0.40752,0.35114,0.267,0.17773,1.24202,1.87087,1.5982,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,234208,1.30989,1.7289,1.5184,0.40623,0.35384,0.26889,0.17907,1.24158,1.86401,1.59789,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,241770,1.30428,1.75535,1.51605,0.40504,0.35903,0.27073,0.18067,1.24035,1.85649,1.59698,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,249334,1.30593,1.72711,1.51796,0.41104,0.35757,0.27231,0.18188,1.23954,1.8495,1.59627,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,256949,1.30167,1.72946,1.51455,0.41063,0.36012,0.27433,0.18325,1.23809,1.8448,1.59535,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
