run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.0,32.0,3,0.361695,0.361695,0.314925,0.313739,0.304215,0.196841,0.335876,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.0,32.0,3,0.353858,0.353858,0.311971,0.31481,0.304215,0.196661,0.32726,0.180471,531,4064,79.184256,254.76666666666668,0,0,0.0,0.0
1,2,0.0,32.0,3,0.359288,0.359288,0.321907,0.320507,0.304215,0.193325,0.338229,0.175154,1076,9264,158.377433,576.2666666666667,0,0,0.0,0.0
1,3,0.0,32.0,3,0.366681,0.366681,0.326392,0.325412,0.304215,0.19839,0.342444,0.178239,1655,12752,237.556064,799.0333333333333,0,0,0.0,0.0
1,4,0.0,32.0,3,0.36886,0.36886,0.32741,0.323319,0.304215,0.197497,0.346608,0.170843,2230,16277,316.755522,1023.8249999999999,0,0,0.0,0.0
