epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7731,1.33171,1.09913,1.05683,0,0,0,0,0,0,0,7.9881e-05,7.9881e-05,7.9881e-05
2,75.4099,1.31357,1.099,1.07883,0,0,0,0,0,0,0,0.000108014,0.000108014,0.000108014
3,470.895,1.32722,1.23402,1.04517,0.44405,0.42958,0.384,0.27422,1.27111,1.24296,0.97825,8.24662e-05,8.24662e-05,8.24662e-05
