run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.25,32.0,3,0.353243,0.353243,0.314925,0.313739,0.304215,0.193424,0.326781,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.25,32.0,3,0.347781,0.347781,0.312725,0.312741,0.300795,0.191357,0.321948,0.176881,187,6045,29.679016,358.85833333333335,44,1580,9.898401,93.63333333333334
1,2,0.25,32.0,3,0.350756,0.350756,0.313839,0.312806,0.30371,0.193466,0.322884,0.178527,330,8949,59.36573,533.025,110,1926,19.789510999999997,116.01666666666668
1,3,0.25,32.0,3,0.354388,0.354388,0.318552,0.318183,0.300788,0.196529,0.324346,0.180377,530,10781,89.040218,646.5583333333333,163,2747,29.661333,165.675
1,4,0.25,32.0,3,0.354851,0.354851,0.316879,0.317833,0.300157,0.196585,0.326304,0.181373,682,16167,118.730013,965.8083333333333,220,3427,39.560456,207.24166666666667
