run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.0,32.0,3,0.361695,0.361695,0.314925,0.313739,0.304215,0.196841,0.335876,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.0,32.0,3,0.362923,0.362923,0.319275,0.320133,0.304215,0.197293,0.337607,0.179578,560,4297,79.199387,269.325,0,0,0.0,0.0
1,2,0.0,32.0,3,0.356561,0.356561,0.320085,0.320236,0.304215,0.19408,0.332505,0.176836,1104,9445,158.395624,587.7583333333333,0,0,0.0,0.0
1,3,0.0,32.0,3,0.36018,0.36018,0.319068,0.318118,0.304215,0.196111,0.336597,0.175407,1677,12658,237.571345,794.2833333333333,0,0,0.0,0.0
1,4,0.0,32.0,3,0.363648,0.363648,0.322871,0.31914,0.304215,0.194824,0.340403,0.176875,2207,16154,316.769487,1015.8833333333333,0,0,0.0,0.0
