epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,75514.9,1.24033,1.20528,1.14827,0.4128,0.37275,0.33486,0.2281,1.28759,1.4031,1.3526,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,77938.7,1.22606,1.19009,1.14675,0.38487,0.40221,0.33995,0.2329,1.2849,1.39816,1.35134,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,80373.5,1.22771,1.18813,1.14959,0.39,0.394,0.33933,0.23257,1.28081,1.39535,1.34911,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,82845.9,1.22013,1.18704,1.14223,0.40612,0.39094,0.33814,0.2309,1.28335,1.38985,1.35132,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,85302.6,1.22774,1.16733,1.14333,0.42205,0.39551,0.3513,0.24103,1.27857,1.38019,1.34893,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,87771.8,1.22088,1.18948,1.14272,0.40333,0.40452,0.3453,0.23687,1.27924,1.38471,1.34809,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,90233.8,1.21665,1.17486,1.13758,0.39139,0.41567,0.35206,0.24147,1.2743,1.38279,1.34731,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,92705.6,1.19691,1.138,1.12376,0.41536,0.40073,0.35093,0.24179,1.27146,1.37274,1.3425,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,95206.5,1.20311,1.14209,1.1346,0.41554,0.39189,0.35172,0.2421,1.27321,1.38006,1.34521,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,97682.7,1.20502,1.13739,1.12734,0.41262,0.40143,0.36064,0.24759,1.27253,1.3689,1.34579,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,100114,1.1829,1.11315,1.12314,0.41563,0.39553,0.35768,0.24588,1.27154,1.36733,1.3457,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,102549,1.18435,1.10619,1.12341,0.39837,0.40892,0.35463,0.24443,1.27202,1.37191,1.34954,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,104981,1.18604,1.117,1.11666,0.42006,0.40157,0.36065,0.24913,1.27464,1.3648,1.3548,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,107391,1.17204,1.10715,1.12049,0.40749,0.40632,0.36251,0.25235,1.26981,1.36636,1.35165,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,109808,1.18095,1.09967,1.11688,0.40933,0.39672,0.35893,0.24808,1.26639,1.36698,1.34731,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,112182,1.17454,1.10199,1.11587,0.40373,0.40493,0.36115,0.24874,1.26557,1.36762,1.34402,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,114561,1.16688,1.0898,1.11168,0.40756,0.40947,0.35937,0.24838,1.26413,1.36383,1.34371,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,116933,1.16339,1.05758,1.11594,0.40568,0.4128,0.36199,0.24951,1.26733,1.36803,1.34773,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,119301,1.17147,1.05275,1.10747,0.40268,0.41432,0.36491,0.25177,1.26672,1.36834,1.34695,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,121679,1.14753,1.03727,1.09987,0.39704,0.41342,0.36107,0.25011,1.26605,1.36601,1.34789,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,124016,1.14636,1.04758,1.1041,0.38657,0.41789,0.36045,0.25058,1.26615,1.36256,1.34688,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,126324,1.1514,1.05559,1.1029,0.39334,0.42394,0.36323,0.25277,1.26501,1.35996,1.34808,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,128697,1.15259,1.03549,1.10172,0.4056,0.41273,0.36415,0.25311,1.26512,1.35746,1.34778,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,131037,1.14966,1.03825,1.10097,0.39574,0.4187,0.36518,0.25377,1.2676,1.35886,1.35027,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,133393,1.13712,1.02289,1.10292,0.40468,0.41305,0.36636,0.25483,1.26723,1.35656,1.34977,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,135727,1.13076,1.00159,1.09103,0.40748,0.41648,0.36928,0.25708,1.26555,1.35629,1.34885,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,138068,1.13958,1.01325,1.09882,0.40903,0.41757,0.3702,0.25793,1.26433,1.3575,1.34881,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,140417,1.13522,1.01151,1.09401,0.41176,0.41495,0.37025,0.25785,1.26378,1.35991,1.34839,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,142760,1.12473,1.00358,1.09688,0.40894,0.41713,0.37023,0.25742,1.26433,1.3591,1.34949,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,145108,1.1176,0.99684,1.09433,0.41428,0.41381,0.3709,0.25837,1.26348,1.36066,1.34916,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
