epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0343,0.78021,0.90812,1.02319,0,0,0,0,0,0,0,8.07397e-05,8.07397e-05,8.07397e-05
2,154.883,0.74917,0.83205,0.99789,0,0,0,0,0,0,0,0.000108589,0.000108589,0.000108589
3,516.152,0.74831,0.81177,0.99577,0.44725,0.4147,0.3934,0.28208,1.24754,1.2433,1.00022,8.27582e-05,8.27582e-05,8.27582e-05
