epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.765,0.69781,0.79212,0.98645,0,0,0,0,0,0,0,8.1134e-05,8.1134e-05,8.1134e-05
2,507.492,0.70186,0.79498,0.99262,0,0,0,0,0,0,0,0.000108853,0.000108853,0.000108853
3,1086.02,0.68912,0.75723,0.97739,0.42379,0.4317,0.39137,0.28336,1.24274,1.25211,0.99978,8.28922e-05,8.28922e-05,8.28922e-05
