Mission,mAP50_mean,mAP50_std,Images_Transmises_mean,Temps_Annotation_min
0,0.3664162098023148,0.0,0.0,0.0
1,0.3602051085430967,0.0026247921778240766,83.0,119.9875
2,0.36400041957905205,0.0043107502320098,87.0,119.94583333333334
3,0.35963140633557233,0.004167941446887744,90.5,119.94583333333334
