run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.25,32.0,3,0.353243,0.353243,0.314925,0.313739,0.304215,0.193424,0.326781,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.25,32.0,3,0.347448,0.347448,0.312053,0.311931,0.300795,0.192623,0.31992,0.175977,208,2657,29.695235,161.925,44,1580,9.898401,93.63333333333334
1,2,0.25,32.0,3,0.348324,0.348324,0.319702,0.316852,0.304942,0.195051,0.32028,0.178749,391,4511,59.393725,276.175,111,2017,19.780603,121.35833333333335
1,3,0.25,32.0,3,0.357891,0.357891,0.322844,0.321871,0.305905,0.198245,0.329877,0.180744,564,5825,89.087331,358.5916666666667,166,2828,29.66196,170.5
1,4,0.25,32.0,3,0.357258,0.357258,0.321819,0.320901,0.303511,0.197633,0.328963,0.181677,755,7242,118.779078,447.6166666666667,215,3600,39.533691000000005,217.16666666666666
