epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2041,1.01711,1.06137,0.9627,0,0,0,0,0,0,0,7.9931e-05,7.9931e-05,7.9931e-05
2,79.3502,1.0347,1.00543,0.94472,0,0,0,0,0,0,0,0.000108047,0.000108047,0.000108047
3,488.218,1.0652,1.01298,0.97032,0.44477,0.41159,0.38149,0.27319,1.25508,1.2677,1.00627,8.24832e-05,8.24832e-05,8.24832e-05
