run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.0,32.0,3,0.361695,0.361695,0.314925,0.313739,0.304215,0.196841,0.335876,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.0,32.0,3,0.357637,0.357637,0.314721,0.316209,0.304215,0.198193,0.33244,0.176159,534,4131,79.176982,258.775,0,0,0.0,0.0
1,2,0.0,32.0,3,0.362235,0.362235,0.322184,0.322295,0.304215,0.198485,0.338162,0.178441,1076,8523,158.375868,533.0416666666666,0,0,0.0,0.0
1,3,0.0,32.0,3,0.363802,0.363802,0.32447,0.322602,0.304215,0.196936,0.341914,0.175601,1631,11702,237.551982,736.9833333333333,0,0,0.0,0.0
1,4,0.0,32.0,3,0.366297,0.366297,0.323698,0.320896,0.304215,0.19814,0.346198,0.175394,2207,15262,316.75022,963.85,0,0,0.0,0.0
