Mission,mAP50_mean,mAP50_std,Images_Transmises_mean,Temps_Annotation_min
0,0.3664162098023148,0.0,0.0,0.0
1,0.3629781534731578,0.002691962061711727,105.5,179.975
2,0.3670673346226875,0.003484688616531289,133.5,179.975
3,0.36531286397337626,0.001390840380696963,112.5,179.975
