Run,Mission,mAP50,Images_Transmises,Temps_Annotation_s
1,0,0.3664162098023148,0,0.0
1,1,0.36914244796974405,600,237306.5
1,2,0.37085338111053423,600,225952.5
1,3,0.36920274108613166,600,236151.5
2,0,0.3664162098023148,0,0.0
2,1,0.3657087598045921,600,230926.0
2,2,0.37981177239519937,600,229582.0
2,3,0.37340457486868883,600,230933.0
