Mission,mAP50_mean,mAP50_std,Images_Transmises_mean,Temps_Annotation_min
0,0.3664162098023148,0.0,0.0,0.0
1,0.3650358909372299,0.0012941216326654433,23.5,89.975
2,0.36576221448842683,0.003150676688883493,213.5,89.95
3,0.36109236207066486,0.0039488272861309725,227.0,89.9625
