epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,36266,1.32809,1.44866,1.20503,0.36721,0.35181,0.27807,0.18519,1.34894,1.56689,1.36508,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,37392,1.32717,1.46235,1.20674,0.37372,0.35094,0.27889,0.18573,1.34852,1.56535,1.36425,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,38450.7,1.33219,1.45834,1.20652,0.37006,0.35233,0.27997,0.18673,1.34792,1.56301,1.36321,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,39418.3,1.32221,1.4505,1.20274,0.37259,0.34953,0.28118,0.18771,1.34751,1.56075,1.36217,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,40397.8,1.32045,1.45285,1.20217,0.37447,0.35019,0.28242,0.1889,1.34654,1.55863,1.36127,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,41381.9,1.31362,1.43593,1.19986,0.37586,0.35068,0.28308,0.18952,1.34538,1.55621,1.36007,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,42382.1,1.31605,1.45035,1.20233,0.38082,0.34967,0.28383,0.19013,1.34472,1.55452,1.35902,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,43374.6,1.31756,1.43145,1.19747,0.3809,0.34968,0.2843,0.19054,1.34413,1.55327,1.35857,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,44365.5,1.31666,1.42772,1.19853,0.37839,0.35163,0.28509,0.19125,1.34372,1.55189,1.35806,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,45341.7,1.3139,1.42662,1.19224,0.3768,0.35262,0.28553,0.19175,1.34308,1.55014,1.35741,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,46310.1,1.31195,1.4099,1.19128,0.37608,0.3544,0.28639,0.19237,1.34254,1.54884,1.35676,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,47281.6,1.31508,1.43939,1.1941,0.3797,0.3533,0.28724,0.19286,1.34215,1.54757,1.35573,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,48248.5,1.31675,1.40601,1.19233,0.37962,0.35257,0.28788,0.1933,1.34194,1.54733,1.35506,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,49214.6,1.31076,1.42705,1.19323,0.40907,0.3511,0.28878,0.1942,1.34138,1.546,1.35421,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,50204.7,1.30563,1.4003,1.18752,0.38179,0.35482,0.28976,0.19482,1.34091,1.54501,1.35362,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,51186.5,1.30121,1.40411,1.18893,0.38005,0.35882,0.29046,0.19532,1.34028,1.54425,1.35308,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,52207.1,1.30337,1.40738,1.18764,0.38149,0.3568,0.29112,0.19574,1.33996,1.54313,1.35236,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,53210.2,1.30661,1.39632,1.18904,0.38392,0.35576,0.29177,0.19631,1.33963,1.54157,1.35193,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,54190.7,1.30108,1.40477,1.1868,0.38573,0.35617,0.29229,0.19689,1.33905,1.5406,1.35116,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
