run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.0,32.0,3,0.361695,0.361695,0.314925,0.313739,0.304215,0.196841,0.335876,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.0,32.0,3,0.358321,0.358321,0.313722,0.314919,0.304215,0.19583,0.332231,0.177185,289,2609,39.578253,161.825,0,0,0.0,0.0
1,2,0.0,32.0,3,0.362249,0.362249,0.321377,0.319829,0.304215,0.19798,0.335618,0.181347,547,5345,79.167149,330.025,0,0,0.0,0.0
1,3,0.0,32.0,3,0.363235,0.363235,0.324266,0.322265,0.304215,0.195801,0.337745,0.180929,844,6895,118.75252599999999,430.34166666666664,0,0,0.0,0.0
1,4,0.0,32.0,3,0.361802,0.361802,0.324959,0.32291,0.304215,0.196925,0.33743,0.180781,1120,8680,158.32693899999998,543.6666666666666,0,0,0.0,0.0
