epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,10467.6,1.21213,1.12765,0.97235,0.39255,0.38978,0.33659,0.23053,1.25347,1.36922,1.04314,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,10795.4,1.18615,1.14654,0.97068,0.38656,0.39857,0.34918,0.24164,1.25724,1.35498,1.04419,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,11125,1.20096,1.12196,0.96686,0.38195,0.40531,0.34279,0.23736,1.24921,1.34536,1.04054,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,11455.7,1.15196,1.11239,0.9704,0.37875,0.41456,0.34796,0.24245,1.23996,1.35833,1.04407,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,11791.3,1.18811,1.10913,0.96481,0.39557,0.39756,0.34611,0.23947,1.25312,1.35304,1.04933,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,12120.2,1.18332,1.06658,0.96061,0.39377,0.3942,0.34341,0.23824,1.25163,1.35899,1.04092,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,12453,1.19927,1.09811,0.96637,0.38239,0.41428,0.3517,0.24287,1.24366,1.33314,1.03528,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,12790,1.18681,1.05446,0.9552,0.40435,0.40027,0.35348,0.24618,1.23486,1.35505,1.033,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,13126.9,1.16892,1.07284,0.95713,0.41768,0.4098,0.36844,0.25962,1.24215,1.32472,1.03356,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,13457,1.15959,1.0649,0.94311,0.40898,0.41239,0.3664,0.25634,1.22878,1.3166,1.02857,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,13784.6,1.13639,1.04457,0.95187,0.42804,0.39733,0.36097,0.25399,1.23488,1.32659,1.04091,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,14112.3,1.17498,1.02927,0.95906,0.39502,0.42389,0.37171,0.26176,1.22892,1.32337,1.03494,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,14446.5,1.15237,1.0355,0.93986,0.43067,0.3954,0.35578,0.25063,1.239,1.35484,1.03862,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,14774,1.14078,1.03029,0.95231,0.41139,0.42653,0.38236,0.26995,1.23117,1.30598,1.03854,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,15107.9,1.10429,0.99412,0.9549,0.3893,0.43918,0.36494,0.25603,1.2335,1.33411,1.04003,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,15432.7,1.11987,0.992,0.94115,0.42707,0.42182,0.37452,0.26252,1.23016,1.33933,1.03692,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,15758.2,1.17244,0.98081,0.93994,0.43105,0.41483,0.36591,0.25731,1.22452,1.33156,1.03659,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,16083.4,1.10947,0.98631,0.93474,0.39008,0.4166,0.36825,0.2601,1.22773,1.33188,1.03536,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,16405.4,1.11031,0.97287,0.93323,0.41464,0.40842,0.36981,0.26243,1.23643,1.34039,1.03688,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,16733,1.13323,1.00864,0.93945,0.41799,0.40821,0.37025,0.26074,1.23257,1.34546,1.03833,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,17058.8,1.11479,0.95806,0.93634,0.39525,0.41153,0.36,0.25357,1.22769,1.36373,1.03609,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,17387.4,1.11746,0.95585,0.9359,0.41702,0.42119,0.37052,0.26313,1.22416,1.33741,1.03564,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,17706.3,1.12502,0.95447,0.93376,0.44305,0.41063,0.37415,0.26303,1.22749,1.33014,1.03496,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,18033.4,1.08342,0.91685,0.93531,0.39627,0.42361,0.36375,0.25677,1.23104,1.35773,1.03517,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,18366.5,1.10592,0.94224,0.9375,0.412,0.40866,0.36276,0.25439,1.23622,1.352,1.03896,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,18692.4,1.09571,0.9382,0.92881,0.435,0.4195,0.37739,0.26642,1.23198,1.34691,1.04022,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,19016.6,1.09247,0.90828,0.9262,0.40978,0.41298,0.37064,0.26204,1.21631,1.33414,1.03316,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,19345.6,1.08992,0.89479,0.92458,0.41933,0.4018,0.36672,0.25987,1.22879,1.35251,1.0327,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,19672.2,1.09304,0.90449,0.92521,0.42745,0.41502,0.37458,0.26617,1.22831,1.36188,1.03474,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,19995.1,1.05982,0.88067,0.92889,0.4285,0.40346,0.36223,0.25741,1.23039,1.37307,1.03502,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,20329,1.08436,0.87815,0.92143,0.43179,0.40719,0.36283,0.25818,1.22814,1.38596,1.03837,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,20659.3,1.05532,0.87235,0.92721,0.42248,0.414,0.37254,0.26566,1.22831,1.36101,1.03439,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
