epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7882,0.84533,0.89499,1.01298,0,0,0,0,0,0,0,8.05034e-05,8.05034e-05,8.05034e-05
2,112.136,0.85785,0.86375,1.01609,0,0,0,0,0,0,0,0.000108431,0.000108431,0.000108431
3,446.888,0.84651,0.85064,1.02904,0.4421,0.41322,0.38743,0.27807,1.24434,1.24673,1.0041,8.26778e-05,8.26778e-05,8.26778e-05
