epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.086,0.68652,0.80934,0.98798,0,0,0,0,0,0,0,8.11844e-05,8.11844e-05,8.11844e-05
2,616.658,0.66668,0.80274,0.97564,0,0,0,0,0,0,0,0.000108887,0.000108887,0.000108887
3,1205.64,0.66271,0.75086,0.97998,0.43996,0.42587,0.39735,0.28749,1.23719,1.23879,0.99696,8.29094e-05,8.29094e-05,8.29094e-05
