run,mission,alpha_r1,size_split_px,epochs,mAP,mAP_union,mAP_routee,mAP_R0_seul,mAP_R1_seul,mAP_petits,mAP_grands,mAP_R0_petits,r0_img,r0_box,r0_mb,r0_min,r1_img,r1_box,r1_mb,r1_min
1,0,0.0,32.0,3,0.353243,0.353243,0.314925,0.313739,0.304215,0.193424,0.326781,0.177188,0,0,0.0,0.0,0,0,0.0,0.0
1,1,0.0,32.0,3,0.346943,0.346943,0.311971,0.31481,0.304215,0.192693,0.318228,0.180471,531,4064,79.184256,254.76666666666668,0,0,0.0,0.0
1,2,0.0,32.0,3,0.352727,0.352727,0.321907,0.320507,0.304215,0.189653,0.331922,0.175154,1076,9264,158.377433,576.2666666666667,0,0,0.0,0.0
1,3,0.0,32.0,3,0.360184,0.360184,0.326392,0.325412,0.304215,0.195327,0.33513,0.178239,1655,12752,237.556064,799.0333333333333,0,0,0.0,0.0
1,4,0.0,32.0,3,0.362418,0.362418,0.32741,0.323319,0.304215,0.193474,0.338416,0.170843,2230,16277,316.755522,1023.8249999999999,0,0,0.0,0.0
